Power Consumed,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
9.58E-07,0.944332,0.8908536,0.9980068
9.58E-07,0.9430278,0.8895746,0.9966768
9.59E-07,0.9417252,0.8882971,0.9953485
9.59E-07,0.9404242,0.8870211,0.9940218
9.59E-07,0.9391248,0.8857466,0.9926968
9.59E-07,0.937827,0.8844737,0.9913735
9.59E-07,0.9365307,0.8832022,0.9900518
9.59E-07,0.935236,0.8819322,0.9887318
9.59E-07,0.9339429,0.8806637,0.9874134
9.59E-07,0.9326514,0.8793967,0.9860967
9.59E-07,0.9313614,0.8781312,0.9847816
9.59E-07,0.9300729,0.8768671,0.9834682
9.59E-07,0.928786,0.8756045,0.9821563
9.59E-07,0.9275006,0.8743434,0.9808461
9.59E-07,0.9262168,0.8730837,0.9795375
9.59E-07,0.9249345,0.8718255,0.9782305
9.59E-07,0.9236537,0.8705687,0.976925
9.59E-07,0.9223744,0.8693133,0.9756212
9.59E-07,0.9210966,0.8680594,0.974319
9.59E-07,0.9198203,0.8668069,0.9730183
9.59E-07,0.9185455,0.8655559,0.9717192
9.59E-07,0.9172722,0.8643062,0.9704217
9.59E-07,0.9160004,0.863058,0.9691257
9.59E-07,0.9147301,0.8618112,0.9678313
9.59E-07,0.9134613,0.8605658,0.9665385
9.59E-07,0.9121939,0.8593218,0.9652472
9.60E-07,0.910928,0.8580791,0.9639574
9.60E-07,0.9096635,0.8568379,0.9626691
9.60E-07,0.9084005,0.855598,0.9613824
9.60E-07,0.9071389,0.8543595,0.9600972
9.60E-07,0.9058788,0.8531224,0.9588135
9.60E-07,0.9046201,0.8518866,0.9575314
9.60E-07,0.9033629,0.8506522,0.9562507
9.60E-07,0.9021071,0.8494192,0.9549715
9.60E-07,0.9008527,0.8481875,0.9536939
9.60E-07,0.8995997,0.8469572,0.9524177
9.60E-07,0.8983481,0.8457282,0.951143
9.60E-07,0.8970979,0.8445005,0.9498697
9.60E-07,0.8958492,0.8432741,0.948598
9.60E-07,0.8946018,0.8420491,0.9473277
9.60E-07,0.8933558,0.8408255,0.9460589
9.60E-07,0.8921112,0.8396031,0.9447915
9.60E-07,0.890868,0.8383821,0.9435256
9.60E-07,0.8896261,0.8371623,0.9422611
9.60E-07,0.8883857,0.8359439,0.940998
9.60E-07,0.8871466,0.8347268,0.9397364
9.60E-07,0.8859088,0.8335109,0.9384763
9.60E-07,0.8846724,0.8322964,0.9372175
9.60E-07,0.8834374,0.8310831,0.9359602
9.60E-07,0.8822037,0.8298711,0.9347042
9.60E-07,0.8809713,0.8286604,0.9334497
9.60E-07,0.8797403,0.827451,0.9321966
9.60E-07,0.8785106,0.8262428,0.9309449
9.60E-07,0.8772823,0.8250359,0.9296946
9.60E-07,0.8760552,0.8238302,0.9284456
9.60E-07,0.8748295,0.8226258,0.9271981
9.60E-07,0.8736051,0.8214227,0.9259519
9.60E-07,0.872382,0.8202208,0.9247071
9.60E-07,0.8711602,0.8190201,0.9234637
9.60E-07,0.8699397,0.8178207,0.9222216
9.60E-07,0.8687205,0.8166225,0.9209809
9.60E-07,0.8675026,0.8154255,0.9197416
9.60E-07,0.866286,0.8142298,0.9185036
9.60E-07,0.8650707,0.8130353,0.9172669
9.60E-07,0.8638566,0.811842,0.9160316
9.60E-07,0.8626438,0.8106499,0.9147976
9.60E-07,0.8614323,0.809459,0.913565
9.61E-07,0.860222,0.8082693,0.9123336
9.61E-07,0.859013,0.8070808,0.9111036
9.61E-07,0.8578053,0.8058935,0.9098749
9.61E-07,0.8565988,0.8047074,0.9086476
9.61E-07,0.8553935,0.8035225,0.9074215
9.61E-07,0.8541895,0.8023388,0.9061967
9.61E-07,0.8529867,0.8011562,0.9049733
9.61E-07,0.8517852,0.7999748,0.9037511
9.61E-07,0.8505849,0.7987946,0.9025302
9.61E-07,0.8493858,0.7976156,0.9013106
9.61E-07,0.8481879,0.7964377,0.9000923
9.62E-07,0.8469912,0.7952609,0.8988752
9.62E-07,0.8457958,0.7940854,0.8976594
9.62E-07,0.8446016,0.7929109,0.8964449
9.62E-07,0.8434085,0.7917376,0.8952317
9.62E-07,0.8422167,0.7905655,0.8940197
9.62E-07,0.8410261,0.7893945,0.892809
9.62E-07,0.8398366,0.7882247,0.8915995
9.62E-07,0.8386484,0.7870559,0.8903912
9.63E-07,0.8374613,0.7858883,0.8891842
9.63E-07,0.8362754,0.7847218,0.8879785
9.63E-07,0.8350907,0.7835565,0.8867739
9.63E-07,0.8339071,0.7823922,0.8855706
9.63E-07,0.8327247,0.7812291,0.8843686
9.63E-07,0.8315435,0.7800671,0.8831677
